#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   1.595000000000E-1    3.710113102137E1    6.033036854665E1    9.743149956802E1
   1.600000000000E-1    3.693671660736E1    6.040141886920E1    9.733813547656E1
   1.605000000000E-1    3.677295504113E1    6.047171318120E1    9.724466822232E1
   1.610000000000E-1    3.660984420209E1    6.054125419791E1    9.715109840000E1
   1.615000000000E-1    3.644738197539E1    6.061004463406E1    9.705742660945E1
   1.620000000000E-1    3.628556625246E1    6.067808720196E1    9.696365345442E1
   1.625000000000E-1    3.612439493080E1    6.074538461227E1    9.686977954307E1
   1.630000000000E-1    3.596386591401E1    6.081193957299E1    9.677580548700E1
   1.635000000000E-1    3.580397711181E1    6.087775479137E1    9.668173190318E1
   1.640000000000E-1    3.564472643971E1    6.094283296967E1    9.658755940938E1
   1.645000000000E-1    3.548611181943E1    6.100717681162E1    9.649328863105E1
   1.650000000000E-1    3.532813117881E1    6.107078901683E1    9.639892019564E1
   1.655000000000E-1    3.517078245146E1    6.113367228113E1    9.630445473260E1
   1.660000000000E-1    3.501406357729E1    6.119582930082E1    9.620989287812E1
   1.665000000000E-1    3.485797250174E1    6.125726276697E1    9.611523526871E1
   1.670000000000E-1    3.470250717667E1    6.131797536898E1    9.602048254566E1
   1.675000000000E-1    3.454766555947E1    6.137796979309E1    9.592563535256E1
   1.680000000000E-1    3.439344561401E1    6.143724872413E1    9.583069433814E1
   1.685000000000E-1    3.423984530947E1    6.149581484257E1    9.573566015203E1
   1.690000000000E-1    3.408686262146E1    6.155367082581E1    9.564053344727E1
   1.695000000000E-1    3.393449553107E1    6.161081934953E1    9.554531488060E1
   1.700000000000E-1    3.378274202556E1    6.166726308507E1    9.545000511063E1
   1.705000000000E-1    3.363160009789E1    6.172300470165E1    9.535460479954E1
   1.710000000000E-1    3.348106774697E1    6.177804686384E1    9.525911461081E1
   1.715000000000E-1    3.333114297734E1    6.183239223417E1    9.516353521151E1
   1.720000000000E-1    3.318182379980E1    6.188604347133E1    9.506786727112E1
   1.725000000000E-1    3.303310823041E1    6.193900323042E1    9.497211146084E1
   1.730000000000E-1    3.288499429160E1    6.199127416298E1    9.487626845458E1
   1.735000000000E-1    3.273748001115E1    6.204285891772E1    9.478033892887E1
   1.740000000000E-1    3.259056342281E1    6.209376013779E1    9.468432356060E1
   1.745000000000E-1    3.244424256599E1    6.214398046591E1    9.458822303190E1
   1.750000000000E-1    3.229851548602E1    6.219352253763E1    9.449203802365E1
   1.755000000000E-1    3.215338023369E1    6.224238898726E1    9.439576922094E1
   1.760000000000E-1    3.200883486579E1    6.229058244417E1    9.429941730996E1
   1.765000000000E-1    3.186487744463E1    6.233810553304E1    9.420298297766E1
   1.770000000000E-1    3.172150603831E1    6.238496087594E1    9.410646691426E1
   1.775000000000E-1    3.157871872046E1    6.243115109127E1    9.400986981173E1
   1.780000000000E-1    3.143651357054E1    6.247667879109E1    9.391319236162E1
   1.785000000000E-1    3.129488867374E1    6.252154658622E1    9.381643525996E1
   1.790000000000E-1    3.115384212050E1    6.256575708079E1    9.371959920129E1
   1.795000000000E-1    3.101337200749E1    6.260931287632E1    9.362268488381E1
